tr0001,st0001,4,19-11-2022,b
tr0002,st0002,4,19-11-2022,b
tr0003,st0002,4,19-11-2022,r
tr0004,st0001,4,19-11-2022,b
tr0005,st0001,4,19-11-2022,b
tr0006,st0001,9,19-11-2022,b
tr0007,st0002,9,19-11-2022,b
tr0008,st0002,9,19-11-2022,b
tr0009,st0002,9,19-11-2022,b
tr0010,st0002,9,19-11-2022,r
tr0011,st0001,9,19-11-2022,r
tr0012,st0001,4,19-11-2022,r
tr0013,st0001,9,19-11-2022,b
tr0014,st0001,9,19-11-2022,b
tr0015,st0001,9,19-11-2022,r
tr0016,st0002,9,19-11-2022,b
tr0017,st0002,9,19-11-2022,r
tr0018,st0002,9,19-11-2022,b
tr0019,st0002,9,19-11-2022,b
tr0020,st0002,9,19-11-2022,b
tr0021,st0002,9,19-11-2022,r
tr0022,st0002,9,19-11-2022,b
tr0023,st0002,9,19-11-2022,b
tr0024,st0002,9,19-11-2022,r
tr0025,st0001,9,19-11-2022,b
tr0026,st0001,9,19-11-2022,b
tr0027,st0001,9,19-11-2022,b
tr0028,st0001,9,19-11-2022,r
tr0029,st0001,9,19-11-2022,b
tr0030,st0001,9,19-11-2022,b
tr0031,st0001,9,19-11-2022,b
tr0032,st0001,9,19-11-2022,r
tr0033,st0001,9,19-11-2022,r
tr0034,st0001,9,19-11-2022,r
tr0035,st0001,9,19-11-2022,b
tr0036,st0001,8,19-11-2022,b
tr0037,st0001,8,19-11-2022,b
tr0038,st0001,5,19-11-2022,b
tr0039,st0001,5,19-11-2022,r
tr0040,st0001,8,19-11-2022,r
tr0041,st0001,8,19-11-2022,r
tr0042,st0001,9,19-11-2022,r
tr0043,st0001,9,19-11-2022,b
tr0044,st0001,8,19-11-2022,b
tr0045,st0001,5,19-11-2022,b
tr0046,st0001,5,19-11-2022,r
tr0047,st0001,8,19-11-2022,r
tr0048,st0001,9,19-11-2022,r
tr0049,st0001,9,19-11-2022,b
tr0050,st0001,9,19-11-2022,r
tr0051,st0001,9,19-11-2022,b
tr0052,st0001,9,19-11-2022,r
tr0053,st0001,9,20-11-2022,b
tr0054,st0001,9,20-11-2022,r
tr0055,st0001,9,20-11-2022,b
tr0056,st0001,8,20-11-2022,b
tr0057,st0001,8,20-11-2022,b
tr0058,st0001,9,20-11-2022,r
tr0059,st0001,8,20-11-2022,r
tr0060,st0001,8,20-11-2022,r
